Date,Rec,GDP,Inflation,PCE,WasteGenerated,MultipleLinearRegressor,DecisionTreeRegressor,RandomForestRegressor,LassoRegressor,PolynomialRegressor,BayesRegressor,GradientBoostRegressor
1999-01-01,0,9411.682,2.18802719697358,287.19,,9023554.578681618,9480000.0,9771200.0,9044987.868492045,9083858.598346788,8682417.992942184,9479894.861129405
2000-01-01,0,10002.179,3.37685727149929,297.541,9480000.0,9479999.999999613,9480000.0,9771200.0,9370638.82582102,9480000.000000007,9214389.576988354,9479894.861129405
2001-01-01,0,10470.231,2.82617111885407,294.642,,9710942.860991806,9480000.0,9771200.0,9825819.583480828,9413357.713250961,9626195.898698226,9479894.861129405
2002-01-01,0,10783.5,1.58603162650601,295.168,,9914011.61778307,9480000.0,9771200.0,10233037.921965472,9596693.198468048,9887490.410362601,9479894.861129405
2003-01-01,0,11174.129,2.27009497336115,301.411,,10183650.962732822,9480000.0,9933600.0,10470771.983012378,9918592.567557838,10224462.43674989,9627375.789686223
2004-01-01,0,11923.447,2.67723669309172,313.395,,10811287.851914912,11510000.0,10380200.0,11003084.846247762,10646030.748873364,10911315.919191957,10673729.06442378
2005-01-01,0,12767.286,3.3927468454955,326.423,11510000.0,11509999.999999225,11510000.0,10623800.0,11571027.160493039,11510000.000000004,11690215.083802655,11509840.94148966
2006-01-01,0,13599.16,3.22594410070404,336.156,,12184544.099002987,11510000.0,10380200.0,12236008.054907404,12381991.171504479,12457404.303041741,10673729.06442378
2007-01-01,0,14215.651,2.85267248150138,339.508,,12613079.037191331,11510000.0,10380200.0,12772155.111180745,12928336.70698088,13014339.76150012,10673729.06442378
2008-01-01,1,14706.538,3.839100296651,333.085,,13309255.036877394,11510000.0,10623800.0,13226526.226296231,12852597.930019882,13448292.490335181,11509840.94148966
2009-01-01,1,14430.902,-0.355546266299747,319.093,,12983744.63466835,11510000.0,10380200.0,13545272.23565685,12389988.476510543,13134796.463509172,10673729.06442378
2010-01-01,0,14764.61,1.6400434423899,331.651,,12691282.485947073,11510000.0,10380200.0,13430453.060060114,13063251.363550339,13416630.403249279,10673729.06442378
2011-01-01,0,15351.448,3.156841568622,347.114,,13212395.747925341,11510000.0,10380200.0,13705851.258594386,14131958.131571557,13945320.045328781,10673729.06442378
2012-01-01,0,16068.805,2.06933726526067,359.525,,13885270.768612623,11510000.0,10380200.0,14381443.873795249,15432697.727310337,14601078.861020029,10673729.06442378
2013-01-01,0,16648.189,1.46483265562717,369.429,,14400062.319381654,11510000.0,10380200.0,14901927.961651362,16513465.6798543,15122107.95056817,10673729.06442378
2014-01-01,0,17197.738,1.62222297740817,384.586,,14945488.75143817,11510000.0,10380200.0,15302756.276423372,17811378.300838318,15614466.573152706,10673729.06442378
2015-01-01,0,18063.529,0.118627135552451,397.361,,15747106.993090034,11510000.0,10380200.0,16138381.892910011,19518816.378666546,16414906.130098,10673729.06442378
2016-01-01,0,18525.933,1.26158320570536,409.317,,16139368.31035471,11510000.0,10380200.0,16367706.968398593,20577799.92686629,16822140.03027846,10673729.06442378
2017-01-01,0,19280.084,2.13011000365961,419.108,,16716679.338867366,11510000.0,10380200.0,16856216.771104343,21944934.725971285,17513449.727954865,10673729.06442378
2018-01-01,0,20328.553,2.44258329692817,427.92,,17511592.086366683,11510000.0,10380200.0,17635086.320571728,23802550.155314643,18491654.58606592,10673729.06442378
